Company,Title,Category,Location,Season,Posted,URL
Medtronic,Co-op/Apprentice (Non-Tech),Other,"Gurgaon, Haryana, India",Summer 2027,Posted Yes,https://medtronic.wd1.myworkdayjobs.com/en-US/redeploymentmedtroniccareers/job/Gurgaon-Haryana-India/Co-op-Apprentice--Non-Tech-_R74803
GE Healthcare,Client Service Technician Apprentice,Other,Remote,Summer 2027,Posted Yes,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Client-Service-Technician-Apprentice_R4043115-1
Cisco,Software Engineer Trainee_Technical Graduate Apprentice - India UHR,Software,"Hyderabad, India",Summer 2027,Posted Tod,https://cisco.wd5.myworkdayjobs.com/en-US/cisco_careers/job/Hyderabad-India/Software-Engineer-Trainee-Technical-Graduate-Apprentice---India-UHR_2024514
GE Healthcare,Information Technology Development Program - Internship,Other,Remote,Summer 2027,Posted Tod,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Information-Technology-Development-Program---Internship_R4043927-1
NVIDIA,"PhD Intern, AI ML in Wireless L1/L2 - Fall 2026",Data & ML/AI,"India, Bengaluru",Fall 2026,Posted Tod,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/PhD-Intern--AI-ML-in-Wireless-L1-L2---Fall-2026_JR2024423
Valeo,R&D Trainee/Apprentice/VIE,Other,Chennai,Summer 2027,Posted Tod,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs/job/Chennai/R-D-Trainee-Apprentice-VIE_REQ2026072348
Citi,Young Apprentice - C00 - MUMBAI,Other,Mumbai Maharashtra India,Summer 2027,Posted Tod,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Mumbai-Maharashtra-India/Young-Apprentice---C00---MUMBAI_26969217
GE Healthcare,Surgery Field Engineer Apprentice - Northern California,Software,Remote,Summer 2027,Posted 5 D,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Surgery-Field-Engineer-Apprentice---Northern-California_R4035260
GE Healthcare,Field Engineer Apprentice,Software,Remote,Summer 2027,Posted 30+,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Field-Engineer-Apprentice_R4043420-2
Valeo,Intern - AI,Data & ML/AI,Chennai,Summer 2027,Posted 30+,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs/job/Chennai/Intern---AI_REQ2025061319
Target,Apprentice - Retail Ops,Other,"Bangalore,India",Summer 2027,Posted 30 ,https://target.wd5.myworkdayjobs.com/en-US/targetcareers/job/BangaloreIndia/Apprentice---Retail-Ops_R0000348370
Target,Apprentice - Technology,Other,"Bangalore,India",Summer 2027,Posted 30 ,https://target.wd5.myworkdayjobs.com/en-US/targetcareers/job/BangaloreIndia/Apprentice---Technology_R0000348368
GE Healthcare,Research Intern - AI,Data & ML/AI,IND19-01-Bengaluru-EPIP 122 (Phase II),Summer 2027,Posted 2 D,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/IND19-01-Bengaluru-EPIP-122-Phase-II/Research-Intern---AI_R4043882-1
Atlys,AI Intern,Data & ML/AI,Delhi HQ,Summer 2027,2026-08-12,https://jobs.ashbyhq.com/atlys/1a34deb8-3d14-4b7b-b1eb-cd302ce97223
Stripe,"Software Engineer, Intern",Software,Bengaluru,Summer 2027,2026-07-10,https://stripe.com/jobs/search?gh_jid=8031833
Epifi,Ai Engg Intern,Data & ML/AI,Bangalore,Summer 2027,2026-07-03,https://jobs.lever.co/epifi/08c743e8-2b29-4f78-827e-5bd90476ed86
